# Z, sigma, counts
1.000000000000000056e-01 1.339818359000000100e+03 4.563640000000000363e+00
1.000000000000000056e-01 1.338691405999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.337564452999999958e+03 2.281003999999999809e+00
1.000000000000000056e-01 1.336437500000000000e+03 4.561193000000000275e+00
1.000000000000000056e-01 1.335310547000000042e+03 2.280189000000000021e+00
1.000000000000000056e-01 1.334183594000000085e+03 6.839341000000000115e+00
1.000000000000000056e-01 1.333056640999999900e+03 4.558743999999999907e+00
1.000000000000000056e-01 1.331927734000000100e+03 4.557928000000000424e+00
1.000000000000000056e-01 1.330800780999999915e+03 9.114223000000000852e+00
1.000000000000000056e-01 1.329671875000000000e+03 6.834442000000000128e+00
1.000000000000000056e-01 1.328542969000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.327416015999999900e+03 6.831991000000000369e+00
1.000000000000000056e-01 1.326287109000000100e+03 4.553842999999999641e+00
1.000000000000000056e-01 1.325158202999999958e+03 2.276513000000000009e+00
1.000000000000000056e-01 1.324029297000000042e+03 6.828312000000000381e+00
1.000000000000000056e-01 1.322898437999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.321769530999999915e+03 2.275285999999999920e+00
1.000000000000000056e-01 1.320640625000000000e+03 6.824633000000000393e+00
1.000000000000000056e-01 1.319509765999999900e+03 6.823405000000000165e+00
1.000000000000000056e-01 1.318378905999999915e+03 2.274058999999999831e+00
1.000000000000000056e-01 1.317250000000000000e+03 2.273649999999999949e+00
1.000000000000000056e-01 1.316119140999999900e+03 2.273241000000000067e+00
1.000000000000000056e-01 1.314988280999999915e+03 -2.272832000000000185e+00
1.000000000000000056e-01 1.313857422000000042e+03 4.544844999999999580e+00
1.000000000000000056e-01 1.312726562999999942e+03 4.544025000000000425e+00
1.000000000000000056e-01 1.311593750000000000e+03 4.543206999999999773e+00
1.000000000000000056e-01 1.310462890999999900e+03 -2.271193999999999935e+00
1.000000000000000056e-01 1.309332030999999915e+03 2.270783999999999914e+00
1.000000000000000056e-01 1.308199219000000085e+03 2.270373999999999892e+00
1.000000000000000056e-01 1.307066405999999915e+03 -4.539928999999999881e+00
1.000000000000000056e-01 1.305935547000000042e+03 2.269554999999999989e+00
1.000000000000000056e-01 1.304802734000000100e+03 4.538289999999999935e+00
1.000000000000000056e-01 1.303669922000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.302537109000000100e+03 4.536649999999999849e+00
1.000000000000000056e-01 1.301402344000000085e+03 4.535829999999999806e+00
1.000000000000000056e-01 1.300269530999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.299136719000000085e+03 4.534188999999999581e+00
1.000000000000000056e-01 1.298001952999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.296869140999999900e+03 2.266274000000000122e+00
1.000000000000000056e-01 1.295734375000000000e+03 2.265862999999999960e+00
1.000000000000000056e-01 1.294599609000000100e+03 2.265452999999999939e+00
1.000000000000000056e-01 1.293464844000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.292330077999999958e+03 4.529263000000000261e+00
1.000000000000000056e-01 1.291195312999999942e+03 2.264221000000000039e+00
1.000000000000000056e-01 1.290060547000000042e+03 4.527620999999999896e+00
1.000000000000000056e-01 1.288923827999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.287789062999999942e+03 2.262989000000000139e+00
1.000000000000000056e-01 1.286652344000000085e+03 2.262577999999999978e+00
1.000000000000000056e-01 1.285517577999999958e+03 2.262166999999999817e+00
1.000000000000000056e-01 1.284380859000000100e+03 2.261756000000000100e+00
1.000000000000000056e-01 1.283244140999999900e+03 -2.261344999999999938e+00
